instruction,output
What is Intro to Testing?,"A key to building software that meets requirements without defects is testing. Software testing helps developers know they are building the right software. When tests are run as part of the development process (often with continuous integration tools), they build confidence and prevent regressions in the code. Context: https://www.guru99.com/software-testing-introduction-importance.html, https://www.browserstack.com/guide/testing-pyramid-for-test-automation, https://app.daily.dev/tags/testing?ref=roadmapsh"
What is Integration testing?,"Integration testing is a broad category of tests where multiple software modules are integrated and tested as a group. It is meant to test the interaction between multiple services, resources, or modules. For example, an API’s interaction with a backend service, or a service with a database. Context: https://www.guru99.com/integration-testing.html, https://thenewstack.io/how-to-integrate-and-test-your-tech-stack/, https://www.youtube.com/watch?v=QYCaaNz8emY, https://app.daily.dev/tags/testing?ref=roadmapsh"
What is Unit testing?,"Unit testing is where individual units (modules, functions/methods, routines, etc.) of software are tested to ensure their correctness. This low-level testing ensures smaller components are functionally sound while taking the burden off of higher-level tests. Generally, a developer writes these tests during the development process and they are run as automated tests. Context: "
What is Functional Testing?,"Functional testing is where software is tested to ensure functional requirements are met. Usually, it is a form of black box testing in which the tester has no understanding of the source code; testing is performed by providing input and comparing expected/actual output. It contrasts with non-functional testing, which includes performance, load, scalability, and penetration testing. Context: https://www.guru99.com/functional-testing.html, https://www.youtube.com/watch?v=j_79AXkG4PY, https://app.daily.dev/tags/testing?ref=roadmapsh"
What is I?,"CI/CD (Continuous Integration/Continuous Deployment) is the practice of automating building, testing, and deployment of applications with the main goal of detecting issues early, and provide quicker releases to the production environment. Context: https://about.gitlab.com/topics/ci-cd/, https://thenewstack.io/a-primer-continuous-integration-and-continuous-delivery-ci-cd/, https://thenewstack.io/3-ways-to-use-automation-in-ci-cd-pipelines/, https://thenewstack.io/ci-cd/, https://www.youtube.com/watch?v=scEDHsr3APg, https://www.youtube.com/watch?v=nyKZTKQS_EQ, https://app.daily.dev/tags/cicd?ref=roadmapsh"
What is Intro to Databases?,"A database is a collection of useful data of one or more related organizations structured in a way to make data an asset to the organization. A database management system is a software designed to assist in maintaining and extracting large collections of data in a timely fashion. Context: https://www.oracle.com/database/what-is-database/, https://www.prisma.io/dataguide/intro/what-are-databases, https://app.daily.dev/tags/backend?ref=roadmapsh"
What is ORM's?,"Object-Relational Mapping (ORM) is a technique that lets you query and manipulate data from a database using an object-oriented paradigm. When talking about ORM, most people are referring to a library that implements the Object-Relational Mapping technique, hence the phrase “an ORM”. Context: https://en.wikipedia.org/wiki/Object%E2%80%93relational_mapping, https://stackoverflow.com/questions/1279613/what-is-an-orm-how-does-it-work-and-how-should-i-use-one/1279678#1279678, https://app.daily.dev/tags/backend?ref=roadmapsh"
What is ACID?,"ACID are the four properties of relational database systems that help in making sure that we are able to perform the transactions in a reliable manner. It’s an acronym which refers to the presence of four properties: atomicity, consistency, isolation and durability Context: https://retool.com/blog/whats-an-acid-compliant-database"
What is TRANSACTION?,"In short, a database transaction is a sequence of multiple operations performed on a database, and all served as a single logical unit of work — taking place wholly or not at all. In other words, there’s never a case where only half of the operations are performed and the results saved. Context: https://fauna.com/blog/database-transaction, https://www.google.com/search?q=transactions%20guide%20for%20backend%20developer, https://www.youtube.com/results?search_query=transactions+for+backend+developer"
What is N+1?,"The N+1 query problem happens when your code executes N additional query statements to fetch the same data that could have been retrieved when executing the primary query. Context: https://medium.com/doctolib/understanding-and-fixing-n-1-query-30623109fe89, https://planetscale.com/blog/what-is-n-1-query-problem-and-how-to-solve-it, https://dev.to/jackynote/solving-the-notorious-n1-problem-optimizing-database-queries-for-java-backend-developers-2o0p"
What is Normalisation?,"Database normalization is the process of structuring a relational database in accordance with a series of so-called normal forms in order to reduce data redundancy and improve data integrity. It was first proposed by Edgar F. Codd as part of his relational model. Normalization entails organizing the columns (attributes) and tables (relations) of a database to ensure that their dependencies are properly enforced by database integrity constraints. It is accomplished by applying some formal rules either by a process of synthesis (creating a new database design) or decomposition (improving an existing database design). Context: https://www.guru99.com/database-normalization.html, https://en.wikipedia.org/wiki/Database_normalization, https://www.youtube.com/watch?v=xoTyrdT9SZI, https://app.daily.dev/tags/database?ref=roadmapsh"
What is Failure Modes?,"There are several different failure modes that can occur in a database, including: 1.Read contention: This occurs when multiple clients or processes are trying to read data from the same location in the database at the same time, which can lead to delays or errors. 2.Write contention: This occurs when multiple clients or processes are trying to write data to the same location in the database at the same time, which can lead to delays or errors. 3.Thundering herd: This occurs when a large number of clients or processes try to access the same resource simultaneously, which can lead to resource exhaustion and reduced performance. 4.Cascade: This occurs when a failure in one part of the database system causes a chain reaction that leads to failures in other parts of the system. 5.Deadlock: This occurs when two or more transactions are waiting for each other to release a lock on a resource, leading to a standstill. 6.Corruption: This occurs when data in the database becomes corrupted, which can lead to errors or unexpected results when reading or writing to the database. 7.Hardware failure: This occurs when hardware components, such as disk drives or memory, fail, which can lead to data loss or corruption. 8.Software failure: This occurs when software components, such as the database management system or application, fail, which can lead to errors or unexpected results. 9.Network failure: This occurs when the network connection between the database and the client is lost, which can lead to errors or timeouts when trying to access the database. 10.Denial of service (DoS) attack: This occurs when a malicious actor attempts to overwhelm the database with requests, leading to resource exhaustion and reduced performance. Context: https://www.google.com/search?q=failure%20modes%20guide%20for%20backend%20developer, https://www.youtube.com/results?search_query=failure+modes+for+backend+developer"
